¥éËDomain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Unit,Value,Flag,FlagD
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,15,Wheat,1992,tonnes,400000.00,*,Unofficial figure
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,15,Wheat,1993,tonnes,408000.00,*,Unofficial figure
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,15,Wheat,1994,tonnes,327000.00,*,Unofficial figure
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,15,Wheat,1995,tonnes,341343.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,15,Wheat,1996,tonnes,134815.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,15,Wheat,1997,tonnes,210742.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,15,Wheat,1998,tonnes,282127.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,15,Wheat,1999,tonnes,239694.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,15,Wheat,2000,tonnes,375221.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,15,Wheat,2001,tonnes,294960.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,15,Wheat,2002,tonnes,339269.00,*,Unofficial figure
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,15,Wheat,2003,tonnes,303034.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,15,Wheat,2004,tonnes,384598.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,15,Wheat,2005,tonnes,319043.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,15,Wheat,2006,tonnes,308013.00,*,Unofficial figure
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,15,Wheat,2007,tonnes,499647.00,*,Unofficial figure
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,15,Wheat,2008,tonnes,297735.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,15,Wheat,2009,tonnes,376806.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,15,Wheat,2010,tonnes,338137.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,15,Wheat,2011,tonnes,356548.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,44,Barley,1992,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,44,Barley,1993,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,44,Barley,1994,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,44,Barley,1995,tonnes,392.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,44,Barley,1996,tonnes,2695.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,44,Barley,1997,tonnes,1350.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,44,Barley,1998,tonnes,2670.00,R,Estimated data using trading partners database
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,44,Barley,1999,tonnes,4692.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,44,Barley,2000,tonnes,1386.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,44,Barley,2001,tonnes,55.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,44,Barley,2002,tonnes,49.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,44,Barley,2003,tonnes,272.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,44,Barley,2004,tonnes,3825.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,44,Barley,2005,tonnes,2116.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,44,Barley,2006,tonnes,15514.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,44,Barley,2007,tonnes,6263.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,44,Barley,2008,tonnes,1040.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,44,Barley,2009,tonnes,4312.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,44,Barley,2010,tonnes,33894.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,44,Barley,2011,tonnes,19013.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,56,Maize,1992,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,56,Maize,1993,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,56,Maize,1994,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,56,Maize,1995,tonnes,41.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,56,Maize,1996,tonnes,724.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,56,Maize,1997,tonnes,99.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,56,Maize,1998,tonnes,3486.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,56,Maize,1999,tonnes,2250.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,56,Maize,2000,tonnes,13433.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,56,Maize,2001,tonnes,13912.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,56,Maize,2002,tonnes,22066.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,56,Maize,2003,tonnes,18415.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,56,Maize,2004,tonnes,37060.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,56,Maize,2005,tonnes,204.00,*,Unofficial figure
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,56,Maize,2006,tonnes,8729.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,56,Maize,2007,tonnes,79323.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,56,Maize,2008,tonnes,65828.00,*,Unofficial figure
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,56,Maize,2009,tonnes,47178.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,56,Maize,2010,tonnes,48034.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,56,Maize,2011,tonnes,51509.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,71,Rye,1992,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,71,Rye,1993,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,71,Rye,1994,tonnes,20000.00,*,Unofficial figure
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,71,Rye,1995,tonnes,10000.00,*,Unofficial figure
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,71,Rye,1996,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,71,Rye,1997,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,71,Rye,1998,tonnes,0.00,M,Data not available
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,71,Rye,1999,tonnes,12979.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,71,Rye,2000,tonnes,16129.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,71,Rye,2001,tonnes,2.00,,Official data
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,71,Rye,2002,tonnes,0.00,R,Estimated data using trading partners database
TP,Crops and livestock products,1,Armenia,5610,Import Quantity,71,Rye,2003,tonnes,300.00,,Official data
